file_name,label
038109d1-e85b-4547-80e5-7d93e8adeaaf,BC
10563344-6b76-46c0-ac4b-f95aabfe6f5a,BC
16b6c3e2-3ab4-4224-a9a4-c3c4da819a0d,BC K.M.skab
df762169-2d0f-4c56-b4b0-d38f0a3c1d13,BC K.M.skab
0c3b9f1f-d185-4cfe-ba27-ab0e6cafc346,BC K.M.skab
363872e7-99a7-4827-b9eb-b0cc3925ecc5,BC K.M.skab
c1d93a32-d1d7-4680-b3ee-54982edcfcfc,BC K.M.skab
3a8e2800-c0ca-4a81-affa-a5b1b0c56718,BC K.M.skab
67454af2-0737-4fea-9b7b-b00054f41619,BC K.M.skab
5a361ac9-c996-4294-a08a-22160219d334,BC K.M.skab
5a6121fc-475d-423c-8f2b-ece4543bb1a1,BC K.M.skab
13f066ae-56cc-4799-8b6a-00118eb83cb8,BC K.M.skab
a2db7f9b-73f1-4756-83c9-f0ea46f0bb83,BC K.M.skab
55230832-f300-447c-97d5-8cba1498cb8a,BC K.M.skab
8a79c538-4782-4fd0-9e51-1a3a52bafd77,BC K.M.skab
3080df8f-17b7-4f8b-ab9a-0cadd10ff673,BC K.M.skab
67cf7a2c-dc15-4ae3-b842-c5ca251582dd,BC K.M.skab
40607175-1d94-48b6-a91c-4f069f620d97,BC K.M.skab
21ce6f48-9279-4fe9-9d15-30d49c705a8f,BC K.M.skab
b86d468d-5c24-4393-afe1-6266c4f92154,BC K.M.skab
95386aef-1286-4041-ac56-159ac14a9ebd,BC K.M.skab
2c1247b1-bbb1-4964-bd38-81d73802547d,BC K.M.skab
e123c332-09f7-4630-a977-79189f95aacb,CP1
f2381996-c516-47b0-8d2a-2b12baaa7d2e,CP1
f1988271-102d-4015-906d-2c0427382f4f,CP1
b0cc1ca6-da6f-4034-80e9-6801ff5611e8,CP1
fd7d5e1e-cc31-48ba-b343-2e72384fe3ba,CP1
61635d64-b8e6-4072-83bd-c6e56773a33f,CP1
ec466a00-2740-44cf-b40c-06c6c9e17fe0,CP1
f93a4bf3-e1b6-434f-b463-780eb5445fbf,CP1
a48fdaec-0028-4131-a90e-db675689b201,CP1
14696966-1073-4804-8d2e-83a9ed58b51d,CP1
19bb215d-7232-41e7-b1a0-a50f2d009ea8,CP1
c0cfc79f-3dc4-40ad-831d-c412ba28f6e5,CP1
7452d71f-dd4c-494d-82d2-c06082a81daf,CP3
e055d1f9-8656-485c-9700-10daad150dcf,CP3
500c8839-192e-4b81-8259-1893f568aa37,CP3
5d9724ae-84b5-4d5c-94cf-64bf13e696fd,CP3
516ea60d-710a-46f0-8083-15e3064e0b21,CP3
eb2ec05e-a597-4de3-83b7-7efdb335fceb,CP3
6c6fa52a-1fc7-49b5-a9ca-932d12bc6800,CP3
3c7df625-1412-4b0d-afea-c4a08ac46b58,CP3
b8a62db5-bc3e-46f7-b1f4-e81968dade35,CP3
64dff44d-8183-47af-ad9f-89188dae65d6,CP3
548d974b-5bc3-4453-8ca1-1fa8904ce8f2,CP3
a07f8e08-22d6-495b-a57f-188e5339fbff,CP3
22553315-d8b2-4b68-a2fe-0eb542195c6a,CP3
152702d4-f60c-4ccb-8a32-6b8ad880f192,CP3
119105d7-17c9-4540-a264-4a6a871871e6,CP3
57bd7982-f6f7-4f71-a3d7-c420837f5c98,CP3
c9df6990-d34d-472a-a949-237b6adc1923,CP3
ce1675c9-5a5f-411c-9e27-02059bad85ec,CP3
7f95aed0-7c9b-4066-9863-534c2e2980ec,CP4
120e5d88-17da-454a-a04c-ec6ed976b765,CP4
c91c5af0-df08-496f-84c9-a766ab5b138b,CP4
a56b0e90-308d-4184-ac88-ffb2d0345743,CP4
66d8b8e5-6e14-41e7-b462-f2ae826fe981,CP4
8db10ac7-b2de-431a-a812-c1da5a28ede1,CP4
fc6d1a40-70cc-4dc6-bd60-71bcf9810f01,CP4
644d9070-e35d-4511-ac21-88d85cefcc59,CP4
92fea584-f8be-463c-8b80-51d289f37d33,CP4
db5a458a-e90b-45e3-acbb-35c4f2c3380d,CP4
cffaa71a-603a-48b8-bf95-39af5b8972fa,CP4
